Id,Nom de la fiche
PROG14-TDL-1,Mesurer le temps de réaction grâce à un stimulus visuel (LED)
PROG14-TDL-2,Mesurer le temps de réaction grâce à un stimulus sonore (buzzer)
PROG14-TDL-3,Afficher les données collectées sur un écran
