Id,Nom de la fiche
PROG5-TDL-1,Collecter les données grâce au capteur de température
PROG5-TDL-2,Afficher les données collectées sur un écran
PROG5-TDL-3,Réaliser un pare-soleil asservi grâce à un servomoteur
