Id,Nom de la fiche
PROG16-TDL-1,Fabriquer un anémomètre
PROG16-TDL-2,"Mesurer la température ambiante "
PROG16-TDL-3,Mesurer la pression atmosphérique
PROG16-TDL-4,Mesurer l’humidité relative de l’air
PROG16-TDL-5,Mesurer la vitesse du vent
PROG16-TDL-6,Afficher les données collectées sur un écran
