Nom
Assemblage final et finitions
Installation de Recalbox
Jeux d’arcade emblématiques
Petit historique des bornes d’arcade
Introduction au Raspberry Pi
Modélisation finale du design
Conception du projet et ressources documentaires
Version réalisée par La Scientothèque
Version réalisée par Les Emulsionneurs et le CSC Vent des Îles
Méthodes de prototypage
