Nom
Petit historique des bornes d’arcade
Jeux d’arcade emblématiques
Conception du projet et ressources documentaires
Introduction au Raspberry Pi
Installation de Recalbox
Méthodes de prototypage
Modélisation finale du design
Assemblage final et finitions
Version réalisée par La Scientothèque
Version réalisée par Les Emulsionneurs et le CSC Vent des Îles
