Id,Nom de la fiche
PROG1-TDL-1,Mesurer la conductivité du sol
PROG1-TDL-2,Afficher les données collectées sur un écran
PROG1-TDL-3,Programmation d’un servomoteur
PROG1-TDL-4,Créer un système d’arrosage automatique
